SYMBOL,term
CHRD,TGF-beta signaling pathway
NOG,TGF-beta signaling pathway
NBL1,TGF-beta signaling pathway
MICOS10-NBL1,TGF-beta signaling pathway
GREM1,TGF-beta signaling pathway
GREM2,TGF-beta signaling pathway
THBS1,TGF-beta signaling pathway
DCN,TGF-beta signaling pathway
FMOD,TGF-beta signaling pathway
LEFTY1,TGF-beta signaling pathway
LEFTY2,TGF-beta signaling pathway
FST,TGF-beta signaling pathway
BMP2,TGF-beta signaling pathway
BMP4,TGF-beta signaling pathway
BMP6,TGF-beta signaling pathway
INHBB,TGF-beta signaling pathway
TF,TGF-beta signaling pathway
BMP5,TGF-beta signaling pathway
BMP7,TGF-beta signaling pathway
BMP8B,TGF-beta signaling pathway
BMP8A,TGF-beta signaling pathway
GDF5,TGF-beta signaling pathway
GDF6,TGF-beta signaling pathway
GDF7,TGF-beta signaling pathway
AMH,TGF-beta signaling pathway
IFNG,TGF-beta signaling pathway
TNF,TGF-beta signaling pathway
THSD4,TGF-beta signaling pathway
FBN1,TGF-beta signaling pathway
LTBP1,TGF-beta signaling pathway
TGFB1,TGF-beta signaling pathway
TGFB2,TGF-beta signaling pathway
TGFB3,TGF-beta signaling pathway
INHBA,TGF-beta signaling pathway
INHBC,TGF-beta signaling pathway
INHBE,TGF-beta signaling pathway
NODAL,TGF-beta signaling pathway
BMPR1A,TGF-beta signaling pathway
BMPR1B,TGF-beta signaling pathway
ACVR1,TGF-beta signaling pathway
BMPR2,TGF-beta signaling pathway
ACVR2A,TGF-beta signaling pathway
HJV,TGF-beta signaling pathway
NEO1,TGF-beta signaling pathway
HFE,TGF-beta signaling pathway
TFR2,TGF-beta signaling pathway
TFRC,TGF-beta signaling pathway
RGMA,TGF-beta signaling pathway
RGMB,TGF-beta signaling pathway
AMHR2,TGF-beta signaling pathway
TGFBR1,TGF-beta signaling pathway
TGFBR2,TGF-beta signaling pathway
EMP3,TGF-beta signaling pathway
LRRC32,TGF-beta signaling pathway
NRROS,TGF-beta signaling pathway
ACVR1B,TGF-beta signaling pathway
ACVR2B,TGF-beta signaling pathway
ACVR1C,TGF-beta signaling pathway
IGSF1,TGF-beta signaling pathway
BAMBI,TGF-beta signaling pathway
SMAD1,TGF-beta signaling pathway
SMAD5,TGF-beta signaling pathway
SMAD9,TGF-beta signaling pathway
SMAD2,TGF-beta signaling pathway
SMAD3,TGF-beta signaling pathway
SMAD4,TGF-beta signaling pathway
SMAD6,TGF-beta signaling pathway
SMAD7,TGF-beta signaling pathway
SMURF1,TGF-beta signaling pathway
SMURF2,TGF-beta signaling pathway
ZFYVE9,TGF-beta signaling pathway
ZFYVE16,TGF-beta signaling pathway
RBX1,TGF-beta signaling pathway
CUL1,TGF-beta signaling pathway
SKP1,TGF-beta signaling pathway
MAPK1,TGF-beta signaling pathway
MAPK3,TGF-beta signaling pathway
RHOA,TGF-beta signaling pathway
ROCK1,TGF-beta signaling pathway
PPP2R1B,TGF-beta signaling pathway
PPP2R1A,TGF-beta signaling pathway
PPP2CA,TGF-beta signaling pathway
PPP2CB,TGF-beta signaling pathway
RPS6KB1,TGF-beta signaling pathway
RPS6KB2,TGF-beta signaling pathway
HAMP,TGF-beta signaling pathway
ID1,TGF-beta signaling pathway
ID2,TGF-beta signaling pathway
ID3,TGF-beta signaling pathway
ID4,TGF-beta signaling pathway
RBL1,TGF-beta signaling pathway
E2F4,TGF-beta signaling pathway
E2F5,TGF-beta signaling pathway
TFDP1,TGF-beta signaling pathway
CREBBP,TGF-beta signaling pathway
EP300,TGF-beta signaling pathway
SP1,TGF-beta signaling pathway
SKIL,TGF-beta signaling pathway
SKI,TGF-beta signaling pathway
SIN3A,TGF-beta signaling pathway
HDAC1,TGF-beta signaling pathway
HDAC2,TGF-beta signaling pathway
NCOR1,TGF-beta signaling pathway
TGIF1,TGF-beta signaling pathway
TGIF2,TGF-beta signaling pathway
MYC,TGF-beta signaling pathway
CDKN2B,TGF-beta signaling pathway
PITX2,TGF-beta signaling pathway
