"ENTREZID","SYMBOL","term"
"8646","CHRD","TGF-beta signaling pathway"
"9241","NOG","TGF-beta signaling pathway"
"4681","NBL1","TGF-beta signaling pathway"
"100532736","MICOS10-NBL1","TGF-beta signaling pathway"
"26585","GREM1","TGF-beta signaling pathway"
"64388","GREM2","TGF-beta signaling pathway"
"7057","THBS1","TGF-beta signaling pathway"
"1634","DCN","TGF-beta signaling pathway"
"2331","FMOD","TGF-beta signaling pathway"
"10637","LEFTY1","TGF-beta signaling pathway"
"7044","LEFTY2","TGF-beta signaling pathway"
"10468","FST","TGF-beta signaling pathway"
"650","BMP2","TGF-beta signaling pathway"
"652","BMP4","TGF-beta signaling pathway"
"654","BMP6","TGF-beta signaling pathway"
"3625","INHBB","TGF-beta signaling pathway"
"7018","TF","TGF-beta signaling pathway"
"653","BMP5","TGF-beta signaling pathway"
"655","BMP7","TGF-beta signaling pathway"
"656","BMP8B","TGF-beta signaling pathway"
"353500","BMP8A","TGF-beta signaling pathway"
"8200","GDF5","TGF-beta signaling pathway"
"392255","GDF6","TGF-beta signaling pathway"
"151449","GDF7","TGF-beta signaling pathway"
"268","AMH","TGF-beta signaling pathway"
"3458","IFNG","TGF-beta signaling pathway"
"7124","TNF","TGF-beta signaling pathway"
"79875","THSD4","TGF-beta signaling pathway"
"2200","FBN1","TGF-beta signaling pathway"
"4052","LTBP1","TGF-beta signaling pathway"
"7040","TGFB1","TGF-beta signaling pathway"
"7042","TGFB2","TGF-beta signaling pathway"
"7043","TGFB3","TGF-beta signaling pathway"
"3624","INHBA","TGF-beta signaling pathway"
"3626","INHBC","TGF-beta signaling pathway"
"83729","INHBE","TGF-beta signaling pathway"
"4838","NODAL","TGF-beta signaling pathway"
"657","BMPR1A","TGF-beta signaling pathway"
"658","BMPR1B","TGF-beta signaling pathway"
"90","ACVR1","TGF-beta signaling pathway"
"659","BMPR2","TGF-beta signaling pathway"
"92","ACVR2A","TGF-beta signaling pathway"
"148738","HJV","TGF-beta signaling pathway"
"4756","NEO1","TGF-beta signaling pathway"
"3077","HFE","TGF-beta signaling pathway"
"7036","TFR2","TGF-beta signaling pathway"
"7037","TFRC","TGF-beta signaling pathway"
"56963","RGMA","TGF-beta signaling pathway"
"285704","RGMB","TGF-beta signaling pathway"
"269","AMHR2","TGF-beta signaling pathway"
"7046","TGFBR1","TGF-beta signaling pathway"
"7048","TGFBR2","TGF-beta signaling pathway"
"2014","EMP3","TGF-beta signaling pathway"
"2615","LRRC32","TGF-beta signaling pathway"
"375387","NRROS","TGF-beta signaling pathway"
"91","ACVR1B","TGF-beta signaling pathway"
"93","ACVR2B","TGF-beta signaling pathway"
"130399","ACVR1C","TGF-beta signaling pathway"
"3547","IGSF1","TGF-beta signaling pathway"
"25805","BAMBI","TGF-beta signaling pathway"
"4086","SMAD1","TGF-beta signaling pathway"
"4090","SMAD5","TGF-beta signaling pathway"
"4093","SMAD9","TGF-beta signaling pathway"
"4087","SMAD2","TGF-beta signaling pathway"
"4088","SMAD3","TGF-beta signaling pathway"
"4089","SMAD4","TGF-beta signaling pathway"
"4091","SMAD6","TGF-beta signaling pathway"
"4092","SMAD7","TGF-beta signaling pathway"
"57154","SMURF1","TGF-beta signaling pathway"
"64750","SMURF2","TGF-beta signaling pathway"
"9372","ZFYVE9","TGF-beta signaling pathway"
"9765","ZFYVE16","TGF-beta signaling pathway"
"9978","RBX1","TGF-beta signaling pathway"
"8454","CUL1","TGF-beta signaling pathway"
"6500","SKP1","TGF-beta signaling pathway"
"5594","MAPK1","TGF-beta signaling pathway"
"5595","MAPK3","TGF-beta signaling pathway"
"387","RHOA","TGF-beta signaling pathway"
"6093","ROCK1","TGF-beta signaling pathway"
"5519","PPP2R1B","TGF-beta signaling pathway"
"5518","PPP2R1A","TGF-beta signaling pathway"
"5515","PPP2CA","TGF-beta signaling pathway"
"5516","PPP2CB","TGF-beta signaling pathway"
"6198","RPS6KB1","TGF-beta signaling pathway"
"6199","RPS6KB2","TGF-beta signaling pathway"
"57817","HAMP","TGF-beta signaling pathway"
"3397","ID1","TGF-beta signaling pathway"
"3398","ID2","TGF-beta signaling pathway"
"3399","ID3","TGF-beta signaling pathway"
"3400","ID4","TGF-beta signaling pathway"
"5933","RBL1","TGF-beta signaling pathway"
"1874","E2F4","TGF-beta signaling pathway"
"1875","E2F5","TGF-beta signaling pathway"
"7027","TFDP1","TGF-beta signaling pathway"
"1387","CREBBP","TGF-beta signaling pathway"
"2033","EP300","TGF-beta signaling pathway"
"6667","SP1","TGF-beta signaling pathway"
"6498","SKIL","TGF-beta signaling pathway"
"6497","SKI","TGF-beta signaling pathway"
"25942","SIN3A","TGF-beta signaling pathway"
"3065","HDAC1","TGF-beta signaling pathway"
"3066","HDAC2","TGF-beta signaling pathway"
"9611","NCOR1","TGF-beta signaling pathway"
"7050","TGIF1","TGF-beta signaling pathway"
"60436","TGIF2","TGF-beta signaling pathway"
"4609","MYC","TGF-beta signaling pathway"
"1030","CDKN2B","TGF-beta signaling pathway"
"5308","PITX2","TGF-beta signaling pathway"
